street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,price_per_sqft
3660 22ND AVE,SACRAMENTO,95820,CA,2,1,932,Residential,Mon May 19 00:00:00 EDT 2008,65000,38.532718,-121.46747,69.74248927
3924 HIGH ST,SACRAMENTO,95838,CA,2,1,796,Residential,Mon May 19 00:00:00 EDT 2008,65000,38.638797,-121.435049,81.65829146
4734 14TH AVE,SACRAMENTO,95820,CA,2,1,834,Residential,Mon May 19 00:00:00 EDT 2008,68000,38.539447,-121.450858,81.53477218
4734 14TH AVE,SACRAMENTO,95820,CA,2,1,834,Residential,Mon May 19 00:00:00 EDT 2008,68000,38.539447,-121.450858,81.53477218
5050 RHODE ISLAND DR Unit 4,SACRAMENTO,95841,CA,2,1,924,Condo,Mon May 19 00:00:00 EDT 2008,77000,38.658739,-121.333561,83.33333333
4513 GREENHOLME DR,SACRAMENTO,95842,CA,2,1,795,Condo,Mon May 19 00:00:00 EDT 2008,82732,38.669104,-121.359008,104.0654088
3845 ELM ST,SACRAMENTO,95838,CA,3,1,1250,Residential,Mon May 19 00:00:00 EDT 2008,84000,38.637337,-121.432835,67.2
3908 17TH AVE,SACRAMENTO,95820,CA,2,1,984,Residential,Mon May 19 00:00:00 EDT 2008,84675,38.53728,-121.463531,86.05182927
7109 CHANDLER DR,SACRAMENTO,95828,CA,3,1,1013,Residential,Mon May 19 00:00:00 EDT 2008,85000,38.497237,-121.424187,83.90918065
7541 SKELTON WAY,SACRAMENTO,95822,CA,3,1,1012,Residential,Mon May 19 00:00:00 EDT 2008,90000,38.484274,-121.488851,88.93280632
9058 MONTOYA ST,SACRAMENTO,95826,CA,2,1,795,Condo,Mon May 19 00:00:00 EDT 2008,90000,38.559144,-121.368387,113.2075472
1016 CONGRESS AVE,SACRAMENTO,95838,CA,2,2,918,Residential,Mon May 19 00:00:00 EDT 2008,91000,38.630151,-121.442789,99.12854031
540 MORRISON AVE,SACRAMENTO,95838,CA,3,1,1082,Residential,Mon May 19 00:00:00 EDT 2008,95000,38.637704,-121.453946,87.80036969
5303 JERRETT WAY,SACRAMENTO,95842,CA,2,1,964,Residential,Mon May 19 00:00:00 EDT 2008,97500,38.663282,-121.359631,101.1410788
2820 DEL PASO BLVD,SACRAMENTO,95815,CA,4,2,1404,Multi-Family,Mon May 19 00:00:00 EDT 2008,100000,38.617718,-121.440089,71.22507123
6013 ROWAN WAY,CITRUS HEIGHTS,95621,CA,2,1,888,Residential,Mon May 19 00:00:00 EDT 2008,101000,38.675893,-121.2963,113.7387387
2987 PONDEROSA LN,SACRAMENTO,95815,CA,4,2,1120,Residential,Mon May 19 00:00:00 EDT 2008,102750,38.622243,-121.457863,91.74107143
3732 LANKERSHIM WAY,NORTH HIGHLANDS,95660,CA,3,1,1331,Residential,Mon May 19 00:00:00 EDT 2008,112500,38.68972,-121.378399,84.5229151
2216 DUNLAP DR,SACRAMENTO,95821,CA,3,1,1014,Residential,Mon May 19 00:00:00 EDT 2008,113000,38.623738,-121.41305,111.4398422
3503 21ST AVE,SACRAMENTO,95820,CA,4,2,1448,Residential,Mon May 19 00:00:00 EDT 2008,114000,38.53361,-121.469308,78.72928177
523 EXCHANGE ST,SACRAMENTO,95838,CA,3,1,966,Residential,Mon May 19 00:00:00 EDT 2008,114000,38.659414,-121.45408,118.0124224
8020 WALERGA RD,ANTELOPE,95843,CA,2,2,836,Condo,Mon May 19 00:00:00 EDT 2008,115000,38.71607,-121.364468,137.5598086
167 VALLEY OAK DR,ROSEVILLE,95678,CA,2,2,1100,Condo,Mon May 19 00:00:00 EDT 2008,115000,38.732429,-121.288069,104.5454545
7876 BURLINGTON WAY,SACRAMENTO,95832,CA,3,1,1174,Residential,Mon May 19 00:00:00 EDT 2008,116100,38.470093,-121.468347,98.89267462
3726 JONKO AVE,NORTH HIGHLANDS,95660,CA,3,2,1207,Residential,Mon May 19 00:00:00 EDT 2008,119250,38.656131,-121.377265,98.7986744
7342 GIGI PL,SACRAMENTO,95828,CA,4,4,1995,Multi-Family,Mon May 19 00:00:00 EDT 2008,120000,38.490704,-121.410176,60.15037594
4200 COMMERCE WAY Unit 711,SACRAMENTO,95834,CA,2,2,958,Condo,Mon May 19 00:00:00 EDT 2008,120000,38.647523,-121.523217,125.2609603
4621 COUNTRY SCENE WAY,SACRAMENTO,95823,CA,3,2,1366,Residential,Mon May 19 00:00:00 EDT 2008,120108,38.470187,-121.448149,87.92679356
5380 VILLAGE WOOD DR,SACRAMENTO,95823,CA,2,2,901,Residential,Mon May 19 00:00:00 EDT 2008,121500,38.454949,-121.440578,134.8501665
201 CARLO CT,GALT,95632,CA,3,2,1080,Residential,Mon May 19 00:00:00 EDT 2008,122000,38.24227,-121.31032,112.962963
6743 21ST ST,SACRAMENTO,95822,CA,3,2,1104,Residential,Mon May 19 00:00:00 EDT 2008,123000,38.50372,-121.490657,111.4130435
3128 VIA GRANDE,SACRAMENTO,95825,CA,2,1,972,Residential,Mon May 19 00:00:00 EDT 2008,125000,38.598321,-121.39161,128.600823
2847 BELGRADE WAY,SACRAMENTO,95833,CA,4,2,1390,Residential,Mon May 19 00:00:00 EDT 2008,125573,38.617173,-121.482541,90.34028777
7741 MILLDALE CIR,ELVERTA,95626,CA,4,2,1354,Residential,Mon May 19 00:00:00 EDT 2008,126714,38.705834,-121.43919,93.58493353
7349 FLETCHER FARM DR,SACRAMENTO,95828,CA,4,2,1587,Residential,Mon May 19 00:00:00 EDT 2008,127500,38.49069,-121.382619,80.34026465
7226 LARCHMONT DR,NORTH HIGHLANDS,95660,CA,3,2,1209,Residential,Mon May 19 00:00:00 EDT 2008,130000,38.699269,-121.376334,107.5268817
4114 35TH AVE,SACRAMENTO,95824,CA,2,1,1139,Residential,Mon May 19 00:00:00 EDT 2008,133105,38.520941,-121.459355,116.8612818
617 M ST,RIO LINDA,95673,CA,2,2,1690,Residential,Mon May 19 00:00:00 EDT 2008,136500,38.691104,-121.451832,80.76923077
7032 FAIR OAKS BLVD,CARMICHAEL,95608,CA,3,2,1245,Condo,Mon May 19 00:00:00 EDT 2008,139500,38.628563,-121.328297,112.0481928
2421 SANTINA WAY,ELVERTA,95626,CA,3,2,1416,Residential,Mon May 19 00:00:00 EDT 2008,140000,38.71865,-121.407763,98.8700565
2368 CRAIG AVE,SACRAMENTO,95832,CA,3,2,1300,Residential,Mon May 19 00:00:00 EDT 2008,140800,38.47807,-121.48114,108.3076923
2123 AMANDA WAY,SACRAMENTO,95822,CA,3,2,1120,Residential,Mon May 19 00:00:00 EDT 2008,145000,38.484896,-121.486948,129.4642857
7620 DARLA WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,Mon May 19 00:00:00 EDT 2008,147000,38.478502,-121.403517,92.45283019
8344 FIELDPOPPY CIR,SACRAMENTO,95828,CA,3,2,1407,Residential,Mon May 19 00:00:00 EDT 2008,149600,38.479083,-121.400702,106.3255153
3624 20TH AVE,SACRAMENTO,95820,CA,5,2,1516,Residential,Mon May 19 00:00:00 EDT 2008,150000,38.534508,-121.467907,98.94459103
2848 PROVO WAY,SACRAMENTO,95822,CA,3,2,1646,Residential,Mon May 19 00:00:00 EDT 2008,150000,38.489759,-121.474754,91.13001215
6045 EHRHARDT AVE,SACRAMENTO,95823,CA,3,2,1676,Residential,Mon May 19 00:00:00 EDT 2008,155000,38.457157,-121.433065,92.48210024
1223 LAMBERTON CIR,SACRAMENTO,95838,CA,3,2,1370,Residential,Mon May 19 00:00:00 EDT 2008,155435,38.646677,-121.437573,113.4562044
1223 LAMBERTON CIR,SACRAMENTO,95838,CA,3,2,1370,Residential,Mon May 19 00:00:00 EDT 2008,155500,38.646677,-121.437573,113.5036496
6000 BIRCHGLADE WAY,CITRUS HEIGHTS,95621,CA,4,2,1351,Residential,Mon May 19 00:00:00 EDT 2008,158000,38.70166,-121.323249,116.9504071
7204 THOMAS DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,Mon May 19 00:00:00 EDT 2008,158000,38.697898,-121.377687,137.1527778
8363 LANGTREE WAY,SACRAMENTO,95823,CA,3,2,1452,Residential,Mon May 19 00:00:00 EDT 2008,160000,38.45356,-121.435959,110.1928375
6632 IBEX WOODS CT,CITRUS HEIGHTS,95621,CA,2,2,1162,Residential,Mon May 19 00:00:00 EDT 2008,164000,38.720868,-121.309855,141.1359725
117 EVCAR WAY,RIO LINDA,95673,CA,3,2,1182,Residential,Mon May 19 00:00:00 EDT 2008,164000,38.687659,-121.4633,138.7478849
8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,1280,Residential,Mon May 19 00:00:00 EDT 2008,167293,38.715781,-121.298519,130.6976563
8306 CURLEW CT,CITRUS HEIGHTS,95621,CA,4,2,1280,Residential,Mon May 19 00:00:00 EDT 2008,167293,38.715781,-121.298519,130.6976563
2956 DAVENPORT WAY,SACRAMENTO,95833,CA,4,2,1917,Residential,Mon May 19 00:00:00 EDT 2008,170000,38.620687,-121.482619,88.68022953
10062 LINCOLN VILLAGE DR,SACRAMENTO,95827,CA,3,2,1520,Residential,Mon May 19 00:00:00 EDT 2008,170000,38.564,-121.320023,111.8421053
332 PALIN AVE,GALT,95632,CA,3,2,1204,Residential,Mon May 19 00:00:00 EDT 2008,174000,38.260467,-121.302636,144.5182724
8593 DERLIN WAY,SACRAMENTO,95823,CA,3,2,1436,Residential,Mon May 19 00:00:00 EDT 2008,180000,38.447585,-121.426627,125.3481894
9273 PREMIER WAY,SACRAMENTO,95826,CA,3,2,1451,Residential,Mon May 19 00:00:00 EDT 2008,180000,38.55992,-121.352539,124.0523777
8032 DUSENBERG CT,SACRAMENTO,95828,CA,4,2,1638,Residential,Mon May 19 00:00:00 EDT 2008,180000,38.466499,-121.381119,109.8901099
212 CAPPUCINO WAY,SACRAMENTO,95838,CA,3,2,1353,Residential,Mon May 19 00:00:00 EDT 2008,192000,38.657811,-121.465327,141.9068736
5938 WOODBRIAR WAY,CITRUS HEIGHTS,95621,CA,3,2,1329,Residential,Mon May 19 00:00:00 EDT 2008,192700,38.706152,-121.325399,144.9962378
3801 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1356,Residential,Mon May 19 00:00:00 EDT 2008,195000,38.544368,-121.369979,143.8053097
508 SAMUEL WAY,SACRAMENTO,95838,CA,3,2,1505,Residential,Mon May 19 00:00:00 EDT 2008,197654,38.645689,-121.452766,131.3315615
6671 FOXWOOD CT,SACRAMENTO,95841,CA,4,2,1766,Residential,Mon May 19 00:00:00 EDT 2008,207000,38.687943,-121.328883,117.214043
8165 AYN RAND CT,SACRAMENTO,95828,CA,4,3,1940,Residential,Mon May 19 00:00:00 EDT 2008,208000,38.468639,-121.403265,107.2164948
9474 VILLAGE TREE DR,ELK GROVE,95758,CA,4,2,1776,Residential,Mon May 19 00:00:00 EDT 2008,210000,38.413947,-121.408276,118.2432432
8167 DERBY PARK CT,SACRAMENTO,95828,CA,4,2,1872,Residential,Mon May 19 00:00:00 EDT 2008,213675,38.460492,-121.373379,114.1426282
2945 RED HAWK WAY,SACRAMENTO,95833,CA,4,2,1856,Residential,Mon May 19 00:00:00 EDT 2008,215000,38.619675,-121.496903,115.8405172
3228 I ST,SACRAMENTO,95816,CA,4,3,1939,Residential,Mon May 19 00:00:00 EDT 2008,215000,38.573844,-121.462839,110.8818979
624 HOVEY WAY,ROSEVILLE,95678,CA,3,2,1758,Residential,Mon May 19 00:00:00 EDT 2008,217500,38.756149,-121.306479,123.7201365
110 COPPER LEAF WAY,SACRAMENTO,95838,CA,3,2,2142,Residential,Mon May 19 00:00:00 EDT 2008,218000,38.658466,-121.460661,101.774043
7423 WILSALL CT,ELK GROVE,95758,CA,4,3,1739,Residential,Mon May 19 00:00:00 EDT 2008,221000,38.417026,-121.416821,127.0845313
913 COBDEN CT,GALT,95632,CA,4,2,1555,Residential,Mon May 19 00:00:00 EDT 2008,225500,38.282001,-121.295902,145.0160772
3012 SPOONWOOD WAY,SACRAMENTO,95833,CA,4,2,1871,Residential,Mon May 19 00:00:00 EDT 2008,230000,38.62478,-121.523474,122.928915
4508 OLD DAIRY DR,ANTELOPE,95843,CA,4,3,2026,Residential,Mon May 19 00:00:00 EDT 2008,231200,38.72286,-121.358939,114.1164857
8101 LEMON COVE CT,SACRAMENTO,95828,CA,4,3,1936,Residential,Mon May 19 00:00:00 EDT 2008,235000,38.462981,-121.408288,121.3842975
10949 SCOTSMAN WAY,RANCHO CORDOVA,95670,CA,5,4,2382,Multi-Family,Mon May 19 00:00:00 EDT 2008,236000,38.603686,-121.277844,99.07640638
3301 PARK DR Unit 1914,SACRAMENTO,95835,CA,3,2,1678,Condo,Mon May 19 00:00:00 EDT 2008,238000,38.665296,-121.531993,141.8355185
709 CIMMARON CT,GALT,95632,CA,4,2,1798,Residential,Mon May 19 00:00:00 EDT 2008,238861,38.277177,-121.303747,132.8481646
3305 RIO ROCA CT,ANTELOPE,95843,CA,4,3,2652,Residential,Mon May 19 00:00:00 EDT 2008,239700,38.725079,-121.387698,90.38461538
9080 BEDROCK CT,SACRAMENTO,95829,CA,4,2,1816,Residential,Mon May 19 00:00:00 EDT 2008,240000,38.456939,-121.362965,132.1585903
100 TOURMALINE CIR,SACRAMENTO,95834,CA,5,3,3076,Residential,Mon May 19 00:00:00 EDT 2008,240000,38.63437,-121.510779,78.02340702
6411 RED BIRCH WAY,ELK GROVE,95758,CA,4,2,1844,Residential,Mon May 19 00:00:00 EDT 2008,241000,38.43461,-121.429316,130.6941432
3662 RIVER DR,SACRAMENTO,95833,CA,4,3,2447,Residential,Mon May 19 00:00:00 EDT 2008,246000,38.604969,-121.54255,100.5312628
5308 MARBURY WAY,ANTELOPE,95843,CA,3,2,1830,Residential,Mon May 19 00:00:00 EDT 2008,254172,38.710221,-121.341707,138.8918033
361 MAHONIA CIR,SACRAMENTO,95835,CA,4,3,2175,Residential,Mon May 19 00:00:00 EDT 2008,261000,38.676172,-121.509761,120
3427 LA CADENA WAY,SACRAMENTO,95835,CA,4,2,1904,Residential,Mon May 19 00:00:00 EDT 2008,261000,38.681194,-121.537351,137.0798319
955 BIG SUR CT,EL DORADO HILLS,95762,CA,4,2,1808,Residential,Mon May 19 00:00:00 EDT 2008,262500,38.664347,-121.076529,145.1880531
11826 DIONYSUS WAY,RANCHO CORDOVA,95742,CA,4,2,2711,Residential,Mon May 19 00:00:00 EDT 2008,266000,38.551046,-121.239411,98.11877536
10372 VIA CINTA CT,ELK GROVE,95757,CA,4,3,2724,Residential,Mon May 19 00:00:00 EDT 2008,274425,38.380089,-121.428186,100.7433921
2242 ABLE WAY,SACRAMENTO,95835,CA,4,3,2550,Residential,Mon May 19 00:00:00 EDT 2008,277980,38.666074,-121.509743,109.0117647
1042 STARBROOK DR,GALT,95632,CA,4,2,1928,Residential,Mon May 19 00:00:00 EDT 2008,280000,38.285611,-121.293063,145.2282158
26 JEANROSS CT,SACRAMENTO,95832,CA,5,3,2992,Residential,Mon May 19 00:00:00 EDT 2008,295000,38.473162,-121.491085,98.59625668
4800 MAPLEPLAIN AVE,ELK GROVE,95758,CA,4,2,2109,Residential,Mon May 19 00:00:00 EDT 2008,296000,38.432848,-121.449237,140.3508772
251 CHANGO CIR,SACRAMENTO,95835,CA,4,2,2218,Residential,Mon May 19 00:00:00 EDT 2008,311328,38.68237,-121.539147,140.3642922
5912 DEEPDALE WAY,ELK GROVE,95758,CA,5,3,3468,Residential,Mon May 19 00:00:00 EDT 2008,320000,38.439565,-121.436606,92.272203
4712 PISMO BEACH DR,ANTELOPE,95843,CA,5,3,2346,Residential,Mon May 19 00:00:00 EDT 2008,320000,38.707705,-121.354153,136.402387
4741 PACIFIC PARK DR,ANTELOPE,95843,CA,5,3,2347,Residential,Mon May 19 00:00:00 EDT 2008,325000,38.709299,-121.353056,138.4746485
6121 WILD FOX CT,ELK GROVE,95757,CA,3,3,2442,Residential,Mon May 19 00:00:00 EDT 2008,331000,38.406758,-121.431669,135.5446355
6232 GUS WAY,ELK GROVE,95757,CA,4,2,2789,Residential,Mon May 19 00:00:00 EDT 2008,351000,38.388129,-121.43117,125.8515597
11817 OPAL RIDGE WAY,RANCHO CORDOVA,95742,CA,5,3,3281,Residential,Mon May 19 00:00:00 EDT 2008,395100,38.551083,-121.237476,120.4206035
5201 BLOSSOM RANCH DR,ELK GROVE,95757,CA,4,4,4303,Residential,Mon May 19 00:00:00 EDT 2008,450000,38.399436,-121.444041,104.5782013
3027 PALMATE WAY,SACRAMENTO,95834,CA,5,3,4246,Residential,Mon May 19 00:00:00 EDT 2008,452000,38.628955,-121.529269,106.4531324
8208 WOODYARD WAY,CITRUS HEIGHTS,95621,CA,3,2,1166,Residential,Fri May 16 00:00:00 EDT 2008,30000,38.715322,-121.314787,25.72898799
15 LOORZ CT,SACRAMENTO,95823,CA,2,1,838,Residential,Fri May 16 00:00:00 EDT 2008,55422,38.471646,-121.435158,66.13603819
5805 DOTMAR WAY,NORTH HIGHLANDS,95660,CA,2,1,904,Residential,Fri May 16 00:00:00 EDT 2008,63000,38.672642,-121.380343,69.69026549
2332 CAMBRIDGE ST,SACRAMENTO,95815,CA,2,1,1032,Residential,Fri May 16 00:00:00 EDT 2008,65000,38.608085,-121.449651,62.98449612
3812 BELDEN ST,SACRAMENTO,95838,CA,2,1,904,Residential,Fri May 16 00:00:00 EDT 2008,65000,38.636833,-121.44164,71.90265487
3348 40TH ST,SACRAMENTO,95817,CA,2,1,1080,Residential,Fri May 16 00:00:00 EDT 2008,65000,38.544162,-121.460652,60.18518519
127 QUASAR CIR,SACRAMENTO,95822,CA,2,2,990,Residential,Fri May 16 00:00:00 EDT 2008,66500,38.493504,-121.475304,67.17171717
3812 CYPRESS ST,SACRAMENTO,95838,CA,2,1,900,Residential,Fri May 16 00:00:00 EDT 2008,71000,38.636877,-121.444948,78.88888889
5821 64TH ST,SACRAMENTO,95824,CA,2,1,861,Residential,Fri May 16 00:00:00 EDT 2008,75000,38.521202,-121.428146,87.10801394
8248 CENTER PKWY,SACRAMENTO,95823,CA,2,1,906,Condo,Fri May 16 00:00:00 EDT 2008,77000,38.459002,-121.428794,84.98896247
1171 SONOMA AVE,SACRAMENTO,95815,CA,2,1,1011,Residential,Fri May 16 00:00:00 EDT 2008,85000,38.6238,-121.439872,84.0751731
4250 ARDWELL WAY,SACRAMENTO,95823,CA,3,2,1089,Residential,Fri May 16 00:00:00 EDT 2008,95625,38.466938,-121.455631,87.80991736
3104 CLAY ST,SACRAMENTO,95815,CA,2,1,832,Residential,Fri May 16 00:00:00 EDT 2008,96140,38.62391,-121.439208,115.5528846
6063 LAND PARK DR,SACRAMENTO,95822,CA,2,1,800,Condo,Fri May 16 00:00:00 EDT 2008,104250,38.517029,-121.513809,130.3125
4738 OAKHOLLOW DR,SACRAMENTO,95842,CA,4,2,1292,Residential,Fri May 16 00:00:00 EDT 2008,105000,38.679598,-121.356035,81.26934985
1401 STERLING ST,SACRAMENTO,95822,CA,2,1,810,Residential,Fri May 16 00:00:00 EDT 2008,108000,38.520319,-121.504727,133.3333333
3715 DIDCOT CIR,SACRAMENTO,95838,CA,4,2,1064,Residential,Fri May 16 00:00:00 EDT 2008,109000,38.635232,-121.460098,102.443609
2426 RASHAWN DR,RANCHO CORDOVA,95670,CA,2,1,911,Residential,Fri May 16 00:00:00 EDT 2008,115000,38.610852,-121.273278,126.2349067
4800 WESTLAKE PKWY Unit 410,SACRAMENTO,95835,CA,1,1,846,Condo,Fri May 16 00:00:00 EDT 2008,115000,38.658812,-121.542345,135.9338061
3409 VIRGO ST,SACRAMENTO,95827,CA,3,2,1320,Residential,Fri May 16 00:00:00 EDT 2008,115500,38.563402,-121.327747,87.5
1110 PINEDALE AVE,SACRAMENTO,95838,CA,3,2,1410,Residential,Fri May 16 00:00:00 EDT 2008,115620,38.660173,-121.440216,82
2361 LA LOMA DR,RANCHO CORDOVA,95670,CA,3,2,1115,Residential,Fri May 16 00:00:00 EDT 2008,116000,38.59368,-121.316054,104.0358744
1455 64TH AVE,SACRAMENTO,95822,CA,3,2,1169,Residential,Fri May 16 00:00:00 EDT 2008,122000,38.492177,-121.503392,104.3627032
7328 SPRINGMAN ST,SACRAMENTO,95822,CA,3,2,1164,Residential,Fri May 16 00:00:00 EDT 2008,122500,38.491991,-121.477636,105.2405498
119 SAINT MARIE CIR,SACRAMENTO,95823,CA,4,2,1341,Residential,Fri May 16 00:00:00 EDT 2008,123000,38.481454,-121.446644,91.72259508
12 COSTA BRASE CT,SACRAMENTO,95838,CA,3,2,1219,Residential,Fri May 16 00:00:00 EDT 2008,124000,38.655554,-121.464275,101.7227235
6813 SCOTER WAY,SACRAMENTO,95842,CA,4,2,1127,Residential,Fri May 16 00:00:00 EDT 2008,124000,38.69043,-121.361035,110.0266193
6548 GRAYLOCK LN,NORTH HIGHLANDS,95660,CA,3,2,1272,Residential,Fri May 16 00:00:00 EDT 2008,124413,38.686061,-121.369949,97.80896226
1630 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,1253,Residential,Fri May 16 00:00:00 EDT 2008,125000,38.482717,-121.499683,99.76057462
7825 DALEWOODS WAY,SACRAMENTO,95828,CA,3,2,1120,Residential,Fri May 16 00:00:00 EDT 2008,130000,38.477297,-121.411513,116.0714286
4073 TRESLER AVE,NORTH HIGHLANDS,95660,CA,2,2,1118,Residential,Fri May 16 00:00:00 EDT 2008,131750,38.659016,-121.370457,117.8443649
4288 DYMIC WAY,SACRAMENTO,95838,CA,4,3,1890,Residential,Fri May 16 00:00:00 EDT 2008,137721,38.646541,-121.441139,72.86825397
1158 SAN IGNACIO WAY,SACRAMENTO,95833,CA,3,2,1260,Residential,Fri May 16 00:00:00 EDT 2008,137760,38.623045,-121.486279,109.3333333
4904 J PKWY,SACRAMENTO,95823,CA,3,2,1400,Residential,Fri May 16 00:00:00 EDT 2008,138000,38.487297,-121.44295,98.57142857
2931 HOWE AVE,SACRAMENTO,95821,CA,3,1,1264,Residential,Fri May 16 00:00:00 EDT 2008,140000,38.619012,-121.415329,110.7594937
5531 JANSEN DR,SACRAMENTO,95824,CA,3,1,1060,Residential,Fri May 16 00:00:00 EDT 2008,145000,38.522015,-121.438713,136.7924528
7836 ORCHARD WOODS CIR,SACRAMENTO,95828,CA,2,2,1132,Residential,Fri May 16 00:00:00 EDT 2008,145000,38.47955,-121.410867,128.0918728
4055 DEERBROOK DR,SACRAMENTO,95823,CA,3,2,1466,Residential,Fri May 16 00:00:00 EDT 2008,150000,38.472117,-121.459589,102.319236
9937 BURLINE ST,SACRAMENTO,95827,CA,3,2,1092,Residential,Fri May 16 00:00:00 EDT 2008,150000,38.559641,-121.32316,137.3626374
6948 MIRADOR WAY,SACRAMENTO,95828,CA,4,2,1628,Residential,Fri May 16 00:00:00 EDT 2008,151000,38.493484,-121.42035,92.75184275
7204 KERSTEN ST,CITRUS HEIGHTS,95621,CA,3,2,1075,Residential,Fri May 16 00:00:00 EDT 2008,155800,38.695863,-121.300814,144.9302326
3150 ROSEMONT DR,SACRAMENTO,95826,CA,3,2,1428,Residential,Fri May 16 00:00:00 EDT 2008,156142,38.554927,-121.35521,109.3431373
8200 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1358,Residential,Fri May 16 00:00:00 EDT 2008,158000,38.474854,-121.404726,116.34757
8198 STEVENSON AVE,SACRAMENTO,95828,CA,6,4,2475,Multi-Family,Fri May 16 00:00:00 EDT 2008,159900,38.465271,-121.40426,64.60606061
6824 OLIVE TREE WAY,CITRUS HEIGHTS,95610,CA,3,2,1410,Residential,Fri May 16 00:00:00 EDT 2008,160000,38.689239,-121.267737,113.4751773
3536 SUN MAIDEN WAY,ANTELOPE,95843,CA,3,2,1711,Residential,Fri May 16 00:00:00 EDT 2008,161500,38.70968,-121.382328,94.38924605
4517 OLYMPIAD WAY,SACRAMENTO,95826,CA,4,2,1483,Residential,Fri May 16 00:00:00 EDT 2008,161600,38.536751,-121.359154,108.9683075
925 COBDEN CT,GALT,95632,CA,3,2,1140,Residential,Fri May 16 00:00:00 EDT 2008,162000,38.282047,-121.295812,142.1052632
8225 SCOTTSDALE DR,SACRAMENTO,95828,CA,4,2,1549,Residential,Fri May 16 00:00:00 EDT 2008,165000,38.487864,-121.402476,106.5203357
8758 LEMAS RD,SACRAMENTO,95828,CA,3,2,1410,Residential,Fri May 16 00:00:00 EDT 2008,165000,38.467487,-121.377055,117.0212766
6121 ALPINESPRING WAY,ELK GROVE,95758,CA,3,2,1240,Residential,Fri May 16 00:00:00 EDT 2008,167293,38.434075,-121.432623,134.9137097
5937 YORK GLEN WAY,SACRAMENTO,95842,CA,5,2,1712,Residential,Fri May 16 00:00:00 EDT 2008,168000,38.677003,-121.354454,98.13084112
6417 SUNNYFIELD WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,Fri May 16 00:00:00 EDT 2008,168000,38.449153,-121.428272,106.3291139
4008 GREY LIVERY WAY,ANTELOPE,95843,CA,3,2,1669,Residential,Fri May 16 00:00:00 EDT 2008,168750,38.71846,-121.370862,101.1084482
8884 AMBERJACK WAY,SACRAMENTO,95828,CA,3,2,2161,Residential,Fri May 16 00:00:00 EDT 2008,170250,38.479343,-121.372553,78.78297085
4480 VALLEY HI DR,SACRAMENTO,95823,CA,3,2,1650,Residential,Fri May 16 00:00:00 EDT 2008,173000,38.466781,-121.450955,104.8484848
2250 FOREBAY RD,POLLOCK PINES,95726,CA,3,1,1320,Residential,Fri May 16 00:00:00 EDT 2008,175000,38.77491,-120.597599,132.5757576
8531 HERMITAGE WAY,SACRAMENTO,95823,CA,4,2,1695,Residential,Fri May 16 00:00:00 EDT 2008,179000,38.448452,-121.428536,105.6047198
1005 MORENO WAY,SACRAMENTO,95838,CA,3,2,1410,Residential,Fri May 16 00:00:00 EDT 2008,180000,38.646206,-121.442767,127.6595745
24 WINDCHIME CT,SACRAMENTO,95823,CA,3,2,1593,Residential,Fri May 16 00:00:00 EDT 2008,181000,38.44617,-121.427824,113.6220967
1207 CRESCENDO DR,ROSEVILLE,95678,CA,3,2,1770,Residential,Fri May 16 00:00:00 EDT 2008,182587,38.72446,-121.292829,103.1564972
7577 EDDYLEE WAY,SACRAMENTO,95822,CA,4,2,1436,Residential,Fri May 16 00:00:00 EDT 2008,185074,38.48291,-121.491509,128.8816156
1910 BONAVISTA WAY,SACRAMENTO,95832,CA,3,2,1638,Residential,Fri May 16 00:00:00 EDT 2008,187000,38.476048,-121.494961,114.1636142
8 TIDE CT,SACRAMENTO,95833,CA,3,2,1328,Residential,Fri May 16 00:00:00 EDT 2008,188335,38.609864,-121.492304,141.8185241
10105 MONTE VALLO CT,SACRAMENTO,95827,CA,4,2,1578,Residential,Fri May 16 00:00:00 EDT 2008,190000,38.573917,-121.316916,120.4055767
4854 TANGERINE AVE,SACRAMENTO,95823,CA,3,2,1386,Residential,Fri May 16 00:00:00 EDT 2008,191250,38.478239,-121.446326,137.987013
2909 SHAWN WAY,RANCHO CORDOVA,95670,CA,3,2,1452,Residential,Fri May 16 00:00:00 EDT 2008,193000,38.589925,-121.299059,132.9201102
4290 BLACKFORD WAY,SACRAMENTO,95823,CA,3,2,1513,Residential,Fri May 16 00:00:00 EDT 2008,193500,38.470494,-121.454162,127.8916061
7015 WOODSIDE DR,SACRAMENTO,95842,CA,4,2,1578,Residential,Fri May 16 00:00:00 EDT 2008,195000,38.693071,-121.332365,123.5741445
6019 CHESHIRE WAY,CITRUS HEIGHTS,95610,CA,4,3,1736,Residential,Fri May 16 00:00:00 EDT 2008,195000,38.676437,-121.279165,112.3271889
2561 VERNA WAY,SACRAMENTO,95821,CA,3,1,1473,Residential,Fri May 16 00:00:00 EDT 2008,195000,38.611055,-121.369964,132.3828921
